Scientific name,Comon name,Groups,Clade ++,Clade +,Clade -,Order,Family,Identification Number,Localisation,Type,Diet,Vision,BodyMassValue
Cygnus olor,Mute swan,Others,Galloanserae,Galloanserae,Galloanserae,Anseriformes,Anatidae,XC378414,France,call,PlantSeed,Diurnal,10682.04
Anser albifrons,Greater white-fronted goose,Others,Galloanserae,Galloanserae,Galloanserae,Anseriformes,Anatidae,XC382142,Russia,call,PlantSeed,Diurnal,2506.39
Branta bernicla,Brant,Others,Galloanserae,Galloanserae,Galloanserae,Anseriformes,Anatidae,XC501429,United Kingdom,call,PlantSeed,Diurnal,1277.91
Anas penelope,Eurasian wigeon,Others,Galloanserae,Galloanserae,Galloanserae,Anseriformes,Anatidae,XC549017,Germany,call,PlantSeed,Diurnal,770.03
Bucephala clangula,Common goldeneye,Others,Galloanserae,Galloanserae,Galloanserae,Anseriformes,Anatidae,XC378447,Sweden,"call, female",Invertebrate,Diurnal,918.56
Ortalis vetula,Plain chachalaca,Others,Galloanserae,Galloanserae,Galloanserae,Galliformes,Cracidae,XC328936,Costa Rica,male,FruiNect,Diurnal,562.6
Callipepla squamata,Scaled quail,Others,Galloanserae,Galloanserae,Galloanserae,Galliformes,Odontrophoridae,XC204147,United States,"call, song",PlantSeed,Diurnal,183.86
Callipepla gambelii,Gambel's quail,Others,Galloanserae,Galloanserae,Galloanserae,Galliformes,Odontrophoridae,XC475179,United States,"male, song",PlantSeed,Diurnal,165.95
Meleagris gallopavo,Wild turkey,Others,Galloanserae,Galloanserae,Galloanserae,Galliformes,Phasianidae,XC35320,United States,"call, female",PlantSeed,Diurnal,5791.37
Perdix perdix,Grey partridge,Others,Galloanserae,Galloanserae,Galloanserae,Galliformes,Phasianidae,XC531875,Belgium,song,PlantSeed,Diurnal,405.3
Gallus gallus,Red junglefowl,Others,Galloanserae,Galloanserae,Galloanserae,Galliformes,Phasianidae,XC528092,Spain,"male, song",Omnivore,Diurnal,751.72
Alectoris chukar,Chukar partridge,Others,Galloanserae,Galloanserae,Galloanserae,Galliformes,Phasianidae,XC523756,Israel,call,PlantSeed,Diurnal,502.1
Phasianus colchicus,Common pheasant,Others,Galloanserae,Galloanserae,Galloanserae,Galliformes,Phasianidae,XC487821,United Kingdom,"call, male",PlantSeed,Diurnal,1120.31
Podiceps auritus,Horned grebe,Others,Mirandornithes,Mirandornithes,Phoenicopterimorphae,Podocipediformes,Podicepedidae,XC488095,Iceland,call,VertFishScav,Diurnal,453
Podiceps grisegena,Red-necked grebe,Others,Mirandornithes,Mirandornithes,Phoenicopterimorphae,Podocipediformes,Podicepedidae,XC482542,Poland,call,Omnivore,Diurnal,1023
Podiceps nigricollis,Black-necked grebe,Others,Mirandornithes,Mirandornithes,Phoenicopterimorphae,Podocipediformes,Podicepedidae,XC463852,Japan,call,Invertebrate,Diurnal,412.44
Columba livia,Rock dove,Others,Basal Landbirds,Columbaves,Columbimorphae,Columbiformes,Colombidae,XC541143,France,call,PlantSeed,Diurnal,354.2
Streptopelia decaocto,Eurasian collared dove,Others,Basal Landbirds,Columbaves,Columbimorphae,Columbiformes,Colombidae,XC553211,France,song,PlantSeed,Diurnal,148.96
Zenaida macroura,Mourning dove,Others,Basal Landbirds,Columbaves,Columbimorphae,Columbiformes,Colombidae,XC523306,United States,song,PlantSeed,Diurnal,118.93
Cuculus canorus,Common cuckoo,Others,Basal Landbirds,Columbaves,Otidimorphae,Cuculiformes,Cuculidae,XC557467,,,Invertebrate,Diurnal,111.36
Clamator glandarius,Great spotted cuckoo,Others,Basal Landbirds,Columbaves,Otidimorphae,Cuculiformes,Cuculidae,XC540173,France,call,Invertebrate,Diurnal,143
Coccyzus erythropthalmus,Black-billed cuckoo,Others,Basal Landbirds,Columbaves,Otidimorphae,Cuculiformes,Cuculidae,XC269097,Canada,song,Invertebrate,Diurnal,50.9
Apus apus,Common swift,Hummingbirds,Basal Landbirds,Strisores,Strisores,Caprimulgiformes,Apodidae,XC184145,Switzerland,call,Invertebrate,Diurnal,37.6
