Species,MaxSylen,MinSylen,MeanSylen,SDSylen,SyllableRate,MeanDominantHarmonicFrequency,MaxDominantHarmonicFrequency,MinDominantHarmonicFrequency,SDDominantHarmonicFrequency,MeanHarmonicsIntensity,MaxHarmonicsIntensity,MinHarmonicsIntensity,SDHarmonicsIntensity,MeanHarmonicToNoiseRatio,MaxHarmonicToNoiseRatio,MinHarmonicToNoiseRatio,SDHarmonicToNoiseRatio,MeanFreqeuncyOfH1,MaxFreqeuncyOfH1,MinFreqeuncyOfH1,SDFreqeuncyOfH1,MeanFreqeuncyOfH2,MaxFreqeuncyOfH2,MinFreqeuncyOfH2,SDFreqeuncyOfH2,MeanFreqeuncyOfH3,MaxFreqeuncyOfH3,MinFreqeuncyOfH3,SDFreqeuncyOfH3,MeanEntropy,MaxEntropy,MinEntropy,SDEntropy,MeanSlopeSpectro,MaxSlopeSpectro,MinSlopeSpectro,SDSlopeSpectro
Aegypius monachus,872,1,193.066666666667,273.154970841166,0.00172754195459,2462.94764868159,2966.23436196831,1,282.470497740639,14.3986713355946,22.5850908419535,-2.88915843032004,9.03048519381889,10.5995184687688,16.5889809250392,1,3.33719258724921,1893.35615384615,2982.94,1,431.394036516857,2593.82615384615,3270.58,1,296.546203919346,3229.79,5987.41,1,886.549078994878,0.262892967933403,1,0.198912430881556,0.042421720565515,-4.03925191869127E-05,1,-0.000533729052724,0.000254114603917
Gypaetus barbatus,1256,1,469.333333333333,523.732247113606,0.001477541371158,2990.24437030859,3306.37614678899,1,185.261817192391,6.15748989238273,16.7468685410574,-7.48103352819721,11.4542130390898,17.1932061888945,27.8190672144549,1,7.68670482774584,1861.182,3040.57,1,938.03805960218,2831.01,3225.39,1,519.989736052549,3325.857,3749.38,1,313.611833572438,0.222055084363738,1,0.196315193949418,0.025724985071023,-0.000295338114498,1,-0.000411327862979,0.000203519254956
Neocossyphus rufus,1848,1,1848,NA,NA,2830.71120378093,3406.41784820684,1,249.243270446937,-12.5068748507178,30.5455106011052,-19.4322551446191,5.55820311464503,29.750014012393,42.6345406894196,-1.99061071748051,4.30554944302119,1333.66435555556,2772.77,1,242.634839757155,2715.18128888889,3327.17,1,327.590093043707,2912.45293333333,7636.22,1,476.12570700105,0.057035952672395,1,0.012538273829869,0.025573835849228,-0.000217991897535,1,-0.000567860577966,0.000114564487319
Plegadis falcinellus,392,1,261.714285714286,97.7304358694778,0.001913265306122,541.890464275785,565.23352793995,1,28.1779192594339,17.7141295586421,23.6681354067364,1,4.92066440810632,6.55792247778633,15.4858125067945,-3.34032024253824,6.88974300041231,1066.05380952381,1853.6,1,256.442074131298,1932.93047619048,2599.67,1,242.852432280926,2864.83285714286,4643.99,1,524.409547797738,0.192060695340791,1,0.119905937837837,0.056368396937213,-0.001663837269861,1,-0.003040880986335,0.000509903513811
Nymphicus hollandicus,280,1,254.095238095238,15.9809410295663,0.000550297160467,2610.68399215837,3328.01702502757,1,444.336371919048,3.01815796834391,26.6285340121689,-13.1580275160791,11.3230333979709,13.925631165047,43.5538422156397,-1.0772871051461,8.94996805467294,2328.24313084112,3158.95,1,409.813144839912,2631.90093457944,3312.53,1,420.349742288865,3371.11327102804,4724.81,1,474.594877632172,0.139096976601468,1,0.026242832597705,0.088010543044148,-0.000104624183521,1,-0.000701934707992,0.000240400470643
Grus monacha,848,1,458.181818181818,215.981400513945,0.000756048387097,1139.01841100271,1545.64220183486,1,138.194629419432,11.0926283860953,41.314582437715,-9.58852309878103,13.2091103113892,11.4332332092106,30.3531947771393,-1.34142423385665,7.35741534442038,1140.75005540166,1450.49,1,121.973553351614,1588.58254847645,3225.86,1,412.291212635274,2644.06529085873,4458.66,1,420.619682675304,0.201079656467174,1,0.027841968561181,0.095341271630643,-0.000653352874579,1,-0.003180793444533,0.000487611370156
Anthus nilghiriensis,136,1,109.714285714286,14.860523706625,0.000942575406032,2819.77815498532,3087.79909082817,1,141.406302385811,11.8162752768387,42.5924722092078,-21.0750414064608,21.3505145650126,11.9136186391872,16.341762701456,1,2.22330207201739,2425.76611111111,2780.58,1,411.390808100849,2871.27722222222,3180.31,1,142.397505216314,3152.10555555556,3457.93,1,136.697738921109,0.066666973855314,1,0.007355237787975,0.080806145026547,-0.000101510383901,1,-0.000265514291645,8.09230982030198E-05
Apaloderma narina,296,1,185.795918367347,61.2375768325832,0.001627339300244,507.036679330672,525.474459367907,1,5.4704892758646,-11.2965743483251,1,-13.6951710915188,1.42655146326556,21.4999203537027,22.926241624029,1,2.1000531606544,505.725789473684,512.09,1,5.30017013065998,1468.33105263158,6516.16,1,1718.55455617196,4149.06631578947,11644.93,1,2384.03442933082,0.045678068039336,1,0.026250792512205,0.014032946037199,-0.002066099251067,1,-0.002530459120249,0.000307665547007
Meleagris gallopavo,176,1,106.56,24.799736667463,0.00224276821677,816.176454430588,1625.67556296914,1,225.793603348259,20.0701757023613,34.229476415165,1,7.02158351177404,4.84726874738318,14.6931883961845,-2.93372714998982,3.74480779465385,1025.53526946108,1564.94,1,195.468260018027,1553.15880239521,1987.16,1,151.926017961035,2029.29766467066,3991.41,1,265.74214532124,0.106488158574725,1,0.023577567577454,0.055041727408484,-0.001131271553364,1,-0.003295109943035,0.000682102603734
Apus apus,952,1,952,NA,NA,3274.63526187215,3328.01702502757,1,92.4599259828011,20.6705273872979,26.9219093362607,1,8.12453189429552,10.8719326761309,12.3679368443953,1,1.32731785379476,2832.62,2961.62,1,160.940897536953,3171.12,3291.4,1,204.506574221955,3441.24333333333,3660.76,1,241.839699870252,0.085646576407664,1,0.06528974611406,0.032660870504443,0.000961943923554,1,4.93203516195997E-05,0.001514472240458
